start,duration,value
2019-12-10T00:46:00+01:00,[60],[0.297]
2019-12-10T01:53:00+01:00,[60],[0.247]
2019-12-10T03:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.941,0.941,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.445]"
2019-12-11T03:59:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[1.758,1.758,1.758,1.758,1.758,1.783,1.783,1.783,1.783,1.783,0.371]"
2019-12-11T04:50:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[1.535,1.535,1.535,1.535,1.535,1.535,1.535,1.56,1.56,0.074]"
2019-12-11T05:02:00+01:00,[60],[0.198]
2019-12-11T05:32:00+01:00,"[60,60,60,60,60,60,60,60,60]","[1.807,1.807,1.807,1.832,1.832,1.832,1.832,1.832,0.792]"
2019-12-11T06:04:00+01:00,"[60,60,60,60,60,60]","[0.123,0.123,0.123,0.148,0.148,0.099]"
2019-12-11T07:17:00+01:00,[60],[0.049]
2019-12-11T08:28:00+01:00,"[60,60,60,60,60]","[0.049,0.049,0.049,0.074,0.074]"
2019-12-11T09:52:00+01:00,[60],[0.049]
2019-12-11T12:34:00+01:00,[60],[0.198]
2019-12-11T17:58:00+01:00,"[60,60,60,60,60,60]","[0.148,0.148,0.173,0.173,0.173,0.173]"
2019-12-11T19:19:00+01:00,[60],[0.668]
2019-12-11T22:00:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.173,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.123]"
2019-12-14T20:21:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.445,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,2.352,2.352,2.352,2.352,2.352,2.377,2.377,2.377,2.377,2.179]"
2019-12-14T23:23:00+01:00,"[60,60,60,60]","[0.222,0.222,0.222,0.222]"
2019-12-14T23:35:00+01:00,"[60,60,60,60,60,60]","[1.238,1.213,1.213,1.238,1.238,0.297]"
2019-12-14T23:45:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.188,0.619]"
2019-12-15T01:22:00+01:00,"[60,60,60,60,60,60,60,60]","[1.188,1.188,1.188,1.188,1.213,1.213,1.213,0.99]"
